strategy_name,variety_name,sector,side,entry_date,exit_date,entry_price,exit_price,holding_days,pnl_ratio,exit_reason
单品种,沪铜,有色金属,short,2025-07-30,2025-08-05,78930.0,78580.0,4,0.0044343088812872165,tp3_main_turn_up
单品种,沪铜,有色金属,long,2025-08-08,2025-08-15,78490.0,79060.0,5,0.007262071601477895,tp3_main_turn_down
单品种,沪铜,有色金属,short,2025-08-19,2025-08-25,78890.0,79690.0,4,-0.01014070224363037,tp3_main_turn_up
单品种,沪铜,有色金属,short,2025-09-09,2025-09-12,79650.0,81060.0,3,-0.01770244821092279,tp3_main_turn_up
单品种,沪铜,有色金属,short,2025-09-19,2025-09-25,79850.0,82710.0,4,-0.03581715716969317,tp3_main_turn_up
单品种,沪铜,有色金属,short,2025-11-03,2025-11-10,87300.0,86480.0,5,0.009392898052691867,tp3_main_turn_up
单品种,沪铜,有色金属,long,2025-11-13,2025-11-18,87550.0,85650.0,3,-0.021701884637350087,tp3_main_turn_down
单品种,沪铜,有色金属,short,2025-11-20,2025-11-25,86130.0,86600.0,3,-0.005456867525833043,tp3_main_turn_up
单品种,沪铜,有色金属,long,2025-11-28,2025-12-09,87430.0,91090.0,7,0.04186206107743338,tp3_main_turn_down
单品种,沪铜,有色金属,short,2025-12-11,2025-12-23,92310.0,93930.0,8,-0.017549561260968474,tp3_main_turn_up
单品种,沪铜,有色金属,long,2026-01-28,2026-02-03,103060.0,104500.0,4,0.01397244323694935,tp3_main_turn_down
单品种,沪铜,有色金属,short,2026-02-06,2026-02-12,100100.0,102330.0,4,-0.02227772227772228,tp3_main_turn_up
单品种,沪铜,有色金属,long,2026-03-25,2026-04-20,95590.0,102620.0,17,0.07354325766293546,final_close
单品种,沪铝,有色金属,short,2025-07-30,2025-08-05,20625.0,20560.0,4,0.0031515151515151517,tp3_main_turn_up
单品种,沪铝,有色金属,long,2025-08-06,2025-08-14,20650.0,20715.0,6,0.0031476997578692495,tp3_main_turn_down
单品种,沪铝,有色金属,short,2025-08-18,2025-08-22,20595.0,20630.0,4,-0.0016994416120417577,tp3_main_turn_up
单品种,沪铝,有色金属,long,2025-08-26,2025-09-01,20715.0,20645.0,4,-0.0033791938209027277,tp3_main_turn_down
单品种,沪铝,有色金属,short,2025-09-03,2025-09-09,20710.0,20750.0,4,-0.001931434089811685,tp3_main_turn_up
单品种,沪铝,有色金属,short,2025-09-18,2025-09-26,20785.0,20745.0,6,0.0019244647582391148,tp3_main_turn_up
单品种,沪铝,有色金属,short,2025-10-31,2025-11-04,21300.0,21465.0,2,-0.007746478873239437,tp3_main_turn_up
单品种,沪铝,有色金属,short,2025-11-18,2025-11-26,21465.0,21455.0,6,0.0004658746797111577,tp3_main_turn_up
单品种,沪铝,有色金属,long,2025-11-28,2025-12-09,21610.0,21825.0,7,0.00994909763998149,tp3_main_turn_down
单品种,沪铝,有色金属,short,2025-12-10,2025-12-22,21990.0,22220.0,8,-0.010459299681673489,tp3_main_turn_up
单品种,沪铝,有色金属,long,2025-12-23,2026-01-09,22195.0,24385.0,11,0.09867087181797703,tp3_main_turn_down
单品种,沪铝,有色金属,short,2026-02-03,2026-02-10,23810.0,23600.0,5,0.00881982360352793,tp3_main_turn_up
单品种,沪铝,有色金属,long,2026-02-13,2026-03-13,23265.0,25070.0,14,0.07758435418009886,tp3_main_turn_down
单品种,沪铝,有色金属,short,2026-03-17,2026-03-26,24990.0,23725.0,7,0.05062024809923969,tp3_main_turn_up
单品种,沪铝,有色金属,long,2026-03-27,2026-04-07,23935.0,24630.0,6,0.029036975141006893,tp3_main_turn_down
单品种,沪铝,有色金属,short,2026-04-08,2026-04-14,24780.0,24960.0,4,-0.007263922518159807,tp3_main_turn_up
单品种,沪锌,有色金属,short,2025-07-30,2025-08-07,22670.0,22580.0,6,0.003970004411116012,tp3_main_turn_up
