strategy_name,variety_name,sector,side,entry_date,exit_date,entry_price,exit_price,holding_days,pnl_ratio,entry_main_score,exit_reason
策略2_完整约束,PTA,化工能化,short,2025-07-30,2025-08-08,4856.0,4684.0,7,0.03542009884678748,,tp3_main_turn_up
策略2_完整约束,沪金,贵金属,short,2025-07-30,2025-08-04,773.78,781.42,3,-0.009873607485331731,,tp3_main_turn_up
策略2_完整约束,沪铜,有色金属,short,2025-07-30,2025-08-05,78930.0,78580.0,4,0.0044343088812872165,,tp3_main_turn_up
策略2_完整约束,沪金,贵金属,long,2025-08-06,2025-08-11,783.68,779.48,3,-0.005359330338913755,,tp3_main_turn_down
策略2_完整约束,沪铝,有色金属,long,2025-08-06,2025-08-14,20650.0,20715.0,6,0.0031476997578692495,,tp3_main_turn_down
策略2_完整约束,PTA,化工能化,long,2025-08-12,2025-08-14,4726.0,4666.0,2,-0.012695725772323318,,tp3_main_turn_down
策略2_完整约束,沪金,贵金属,short,2025-08-13,2025-08-20,777.72,772.68,5,0.006480481407190348,,tp3_main_turn_up
策略2_完整约束,橡胶,化工能化,short,2025-08-15,2025-08-27,15905.0,15760.0,8,0.009116629990569003,,tp3_main_turn_up
策略2_完整约束,焦煤,黑色系,short,2025-08-15,2025-08-25,1230.0,1215.5,6,0.011788617886178862,,tp3_main_turn_up
策略2_完整约束,豆粕,油脂油料,short,2025-08-21,2025-09-01,3113.0,3054.0,7,0.018952778670093158,,tp3_main_turn_up
策略2_完整约束,沪金,贵金属,long,2025-08-26,2025-09-08,781.12,825.18,9,0.05640618598934856,,tp3_main_turn_down
策略2_完整约束,PTA,化工能化,short,2025-08-28,2025-09-09,4792.0,4678.0,8,0.02378964941569282,,tp3_main_turn_up
策略2_完整约束,沪铝,有色金属,short,2025-09-03,2025-09-09,20710.0,20750.0,4,-0.001931434089811685,,tp3_main_turn_up
策略2_完整约束,焦煤,黑色系,long,2025-09-09,2025-09-22,1123.5,1217.5,9,0.08366711170449488,0.7666666666666667,tp3_main_turn_down
策略2_完整约束,沪铜,有色金属,short,2025-09-10,2025-09-12,79790.0,81060.0,2,-0.01591678155157288,0.5333333333333333,tp3_main_turn_up
策略2_完整约束,玉米,农产品,short,2025-09-10,2025-09-22,2197.0,2147.0,8,0.02275830678197542,0.7666666666666667,tp3_main_turn_up
策略2_完整约束,沪锌,有色金属,long,2025-09-15,2025-09-18,22310.0,22045.0,3,-0.011878081577767817,0.5333333333333333,tp3_main_turn_down
策略2_完整约束,沪铝,有色金属,short,2025-09-19,2025-09-26,20795.0,20745.0,5,0.0024044241404183697,1.0,tp3_main_turn_up
策略2_完整约束,焦煤,黑色系,short,2025-09-23,2025-10-15,1217.5,1151.0,10,0.05462012320328542,0.7,tp3_main_turn_up
策略2_完整约束,玉米,农产品,long,2025-09-24,2025-10-13,2164.0,2092.0,7,-0.033271719038817,0.16666666666666666,tp3_main_turn_down
策略2_完整约束,甲醇,化工能化,long,2025-09-29,2025-10-21,2359.0,2268.0,10,-0.03857566765578635,0.13333333333333333,tp3_main_turn_down
策略2_完整约束,棕榈油,油脂油料,short,2025-10-17,2025-11-05,9308.0,8590.0,13,0.07713794585302965,0.8,tp3_main_turn_up
策略2_完整约束,焦煤,黑色系,long,2025-10-17,2025-10-27,1179.0,1263.5,6,0.07167090754877015,0.6,tp3_main_turn_down
策略2_完整约束,橡胶,化工能化,long,2025-10-22,2025-10-31,15150.0,15085.0,7,-0.0042904290429042905,1.0,tp3_main_turn_down
策略2_完整约束,沪铝,有色金属,short,2025-10-31,2025-11-04,21300.0,21465.0,2,-0.007746478873239437,0.3333333333333333,tp3_main_turn_up
策略2_完整约束,橡胶,化工能化,short,2025-11-03,2025-11-07,15095.0,14995.0,4,0.006624710168930109,1.0,tp3_main_turn_up
策略2_完整约束,铁矿石,黑色系,short,2025-11-05,2025-11-12,776.0,774.0,5,0.002577319587628866,1.0,tp3_main_turn_up
策略2_完整约束,棕榈油,油脂油料,long,2025-11-07,2025-11-14,8660.0,8644.0,5,-0.0018475750577367205,0.8666666666666667,tp3_main_turn_down
策略2_完整约束,沪锌,有色金属,short,2025-11-11,2025-11-21,22675.0,22390.0,8,0.01256890848952591,0.7,tp3_main_turn_up
策略2_完整约束,铁矿石,黑色系,long,2025-11-13,2025-11-21,772.5,785.5,6,0.016828478964401296,0.5666666666666667,tp3_main_turn_down
策略2_完整约束,沪金,贵金属,short,2025-11-18,2025-11-25,921.34,946.5,5,-0.027308051316560625,1.0,tp3_main_turn_up
策略2_完整约束,甲醇,化工能化,long,2025-11-24,2025-12-03,2077.0,2128.0,7,0.02455464612421762,0.9333333333333333,tp3_main_turn_down
策略2_完整约束,豆粕,油脂油料,long,2025-11-27,2025-12-04,3055.0,2833.0,5,-0.07266775777414075,0.8,tp3_main_turn_down
策略2_完整约束,沪铝,有色金属,long,2025-11-28,2025-12-09,21610.0,21825.0,7,0.00994909763998149,0.7333333333333333,tp3_main_turn_down
策略2_完整约束,甲醇,化工能化,short,2025-12-04,2025-12-12,2113.0,2099.0,6,0.006625650733554188,0.7333333333333333,tp3_main_turn_up
策略2_完整约束,沪金,贵金属,short,2025-12-05,2025-12-11,961.04,957.9,4,0.0032672937650878075,0.23333333333333334,tp3_main_turn_up
策略2_完整约束,棕榈油,油脂油料,short,2025-12-10,2025-12-22,8528.0,8414.0,8,0.013367729831144466,0.8,tp3_main_turn_up
策略2_完整约束,焦煤,黑色系,short,2025-12-15,2025-12-16,1061.0,1067.5,1,-0.006126295947219604,0.9333333333333333,tp3_main_turn_up
策略2_完整约束,PTA,化工能化,long,2025-12-16,2025-12-29,4668.0,5122.0,9,0.0972579263067695,0.8666666666666667,tp3_main_turn_down
策略2_完整约束,棕榈油,油脂油料,long,2025-12-23,2026-01-05,8486.0,8488.0,7,0.00023568230025925054,0.5,tp3_main_turn_down
策略2_完整约束,沪铝,有色金属,long,2025-12-23,2026-01-09,22195.0,24385.0,11,0.09867087181797703,0.8333333333333334,tp3_main_turn_down
策略2_完整约束,PTA,化工能化,short,2025-12-30,2026-01-12,5144.0,5142.0,7,0.00038880248833592535,0.9333333333333333,tp3_main_turn_up
策略2_完整约束,玉米,农产品,short,2026-01-07,2026-01-09,2248.0,2263.0,2,-0.0066725978647686835,0.5,tp3_main_turn_up
策略2_完整约束,沪锌,有色金属,short,2026-01-12,2026-01-15,24175.0,25090.0,3,-0.03784901758014478,0.5333333333333333,tp3_main_turn_up
策略2_完整约束,焦煤,黑色系,long,2026-01-12,2026-01-15,1238.0,1187.5,3,-0.04079159935379645,0.8,tp3_main_turn_down
策略2_完整约束,沪金,贵金属,long,2026-01-13,2026-01-20,1030.44,1060.16,5,0.028842048057140662,0.8666666666666667,tp3_main_turn_down
策略2_完整约束,焦煤,黑色系,short,2026-01-16,2026-01-26,1171.0,1159.5,6,0.00982066609735269,0.8,tp3_main_turn_up
策略2_完整约束,豆粕,油脂油料,short,2026-01-16,2026-01-22,2727.0,2768.0,4,-0.015034836817015035,0.7666666666666667,tp3_main_turn_up
策略2_完整约束,沪锌,有色金属,short,2026-01-21,2026-01-27,24350.0,24950.0,4,-0.024640657084188913,0.8666666666666667,tp3_main_turn_up
