strategy_name,variety_name,trade_count,win_rate,avg_trade_return,median_holding_days,strategy_return,buy_hold_return,excess_return,max_drawdown,signal_long_days,signal_short_days
单品种,焦煤,17,0.6470588235294118,0.021552747875182236,6.0,0.3876031599946277,0.20505484024797593,0.18254831974665175,-0.12463979605081976,9,20
单品种,沪铝,16,0.625,0.015680697139583602,6.0,0.27314574704281713,0.20215311004784708,0.07099263699497005,-0.03609087074294137,12,16
单品种,PTA,13,0.5384615384615384,0.012422620013660051,7.0,0.15158262719442117,0.31539424280350437,-0.1638116156090832,-0.07278195488721795,12,12
单品种,棕榈油,11,0.7272727272727273,0.0106252923842962,7.0,0.12207646623152368,0.0627380685637473,0.05933839766777638,-0.05446652925944939,7,11
单品种,豆粕,17,0.5294117647058824,0.006665447032327907,5.0,0.1140422514507653,-0.038561244329228694,0.152603495779994,-0.09835219215103086,17,15
单品种,铁矿石,13,0.6153846153846154,0.006967638196560998,5.0,0.08920403575586278,-0.044349939246657644,0.13355397500252042,-0.06081363190949263,12,12
单品种,玉米,14,0.6428571428571429,0.003278640902504703,5.5,0.044764853688742834,0.039621016365202655,0.005143837323540179,-0.05646788862953189,13,14
单品种,沪铜,13,0.46153846153846156,0.0015246690143580733,4.0,0.01375988782162385,0.2869325307248567,-0.27317264290323284,-0.10378157746282057,7,11
单品种,甲醇,13,0.5384615384615384,-0.0004917857578829372,6.0,-0.043756963594421716,0.16239316239316093,-0.20615012598758264,-0.20157048942875366,12,11
单品种,沪金,13,0.38461538461538464,-0.004272229839406333,5.0,-0.06418793221733166,0.34417206054737304,-0.4083599927647047,-0.16820849642691826,10,16
单品种,沪锌,14,0.35714285714285715,-0.004677888707659344,4.0,-0.06551071554046817,0.05491392460230804,-0.12042464014277621,-0.10785888838045343,10,15
单品种,橡胶,14,0.42857142857142855,-0.004786786026781382,5.0,-0.07522692527538077,0.13413014608233897,-0.20935707135771975,-0.14910911931902182,6,19
