trade_date,strategy_name,opened_count,closed_count,occupied_slots_after_close,sector_reject_count,capacity_reject_count,holdings_after_close,沪铜_position_after_close,沪铜_close_return,沪铝_position_after_close,沪铝_close_return,沪锌_position_after_close,沪锌_close_return,沪金_position_after_close,沪金_close_return,铁矿石_position_after_close,铁矿石_close_return,焦煤_position_after_close,焦煤_close_return,PTA_position_after_close,PTA_close_return,甲醇_position_after_close,甲醇_close_return,橡胶_position_after_close,橡胶_close_return,豆粕_position_after_close,豆粕_close_return,棕榈油_position_after_close,棕榈油_close_return,玉米_position_after_close,玉米_close_return,沪铜_position_prev,沪铜_weighted_return,沪铝_position_prev,沪铝_weighted_return,沪锌_position_prev,沪锌_weighted_return,沪金_position_prev,沪金_weighted_return,铁矿石_position_prev,铁矿石_weighted_return,焦煤_position_prev,焦煤_weighted_return,PTA_position_prev,PTA_weighted_return,甲醇_position_prev,甲醇_weighted_return,橡胶_position_prev,橡胶_weighted_return,豆粕_position_prev,豆粕_weighted_return,棕榈油_position_prev,棕榈油_weighted_return,玉米_position_prev,玉米_weighted_return,portfolio_daily_return,equity_curve,occupied_slots_prev,沪铜_daily_return,沪铝_daily_return,沪锌_daily_return,沪金_daily_return,铁矿石_daily_return,焦煤_daily_return,PTA_daily_return,甲醇_daily_return,橡胶_daily_return,豆粕_daily_return,棕榈油_daily_return,玉米_daily_return
2025-07-22,策略2_完整约束,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
2025-07-23,策略2_完整约束,0.0,0.0,0.0,0.0,0.0,,0.0,-0.0018811136192625755,0.0,-0.0052631578947368585,0.0,0.0013074743952929957,0.0,0.010269609092298904,0.0,-0.013365735115431376,0.0,0.0829756795422032,0.0,-0.0020859407592824786,0.0,-0.01872201872201873,0.0,-0.0036520584329349237,0.0,0.0029163966299416977,0.0,0.007618194039883397,0.0,-0.00043066322136087187,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,,,,,,,,,,,,
2025-07-24,策略2_完整约束,0.0,0.0,0.0,0.0,0.0,,0.0,0.003769317753486545,0.0,-0.0014430014430014682,0.0,0.0017410228509249226,0.0,-0.017858494135452152,0.0,-0.0012315270935960854,0.0,0.05548216644649928,0.0,0.013795986622073597,0.0,0.028618830360846115,0.0,0.01599466844385211,0.0,-0.022617124394184174,0.0,0.012230375806092875,0.0,-0.0012925463162429818,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,,,,,,,,,,,,
2025-07-25,策略2_完整约束,0.0,0.0,0.0,0.0,0.0,,0.0,-0.008011015145825473,0.0,0.0,0.0,-0.005648490115142346,0.0,-0.001823458407170464,0.0,-0.010480887792848281,0.0,0.05047976637463503,0.0,0.01773195876288658,0.0,0.01572580645161281,0.0,0.022302394227615707,0.0,-0.0013223140495868257,0.0,-0.018453427065026395,0.0,-0.0030198446937014234,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,0.0,,,,,,,,,,,,
2025-07-28,策略2_完整约束,0.0,0.0,0.0,0.0,0.0,,0.0,-0.003154574132492094,0.0,-0.006984585741811156,0.0,-0.010487218702206702,0.0,-0.0032676375237997712,0.0,-0.020560747663551426,0.0,-0.12589356632247817,0.0,-0.025121555915721183,0.0,-0.04565303691941247,0.0,-0.033365415463586734,0.0,-0.010261502813637913,0.0,0.0011190689346463056,0.0,0.003461704889658135,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
2025-07-29,策略2_完整约束,0.0,0.0,0.0,0.0,0.0,,0.0,-0.0020253164556962577,0.0,-0.00048508367693422816,0.0,0.00044159858688441744,0.0,-0.004310901159038538,0.0,0.01526717557251911,0.0,0.0181735574738755,0.0,0.005403158769742289,0.0,0.012479201331114798,0.0,-0.0036508463325589657,0.0,-0.00234113712374584,0.0,0.0026827632461434714,0.0,-0.007330746011211753,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,,,,,,,,,,,,
2025-07-30,策略2_完整约束,3.0,0.0,3.0,3.0,1.0,PTA:S; 沪金:S; 沪铜:S,-1.0,0.0011415525114155667,0.0,0.0009706381946128495,0.0,0.0006621054954756289,-1.0,0.0030332883957273626,0.0,-0.011278195488721776,0.0,0.09995537706381086,-1.0,0.003720545680033105,0.0,-0.006162695152013176,0.0,-0.004330446369087304,0.0,0.009051290646999721,0.0,0.0013377926421405117,0.0,0.004344048653344812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
2025-07-31,策略2_完整约束,0.0,0.0,3.0,0.0,2.0,PTA:S; 沪金:S; 沪铜:S,-1.0,-0.011275814012416063,0.0,-0.005575757575757567,0.0,-0.0143361270401412,-1.0,-0.004523249502442539,0.0,-0.012674271229404344,0.0,-0.07910750507099396,-1.0,-0.009884678747940745,0.0,-0.005787515502273632,0.0,-0.025761124121779888,0.0,-0.0033222591362126463,0.0,-0.009129369850812696,0.0,-0.01038062283737029,-1.0,0.0037586046708053544,0.0,-0.0,0.0,-0.0,-1.0,0.001507749834147513,0.0,-0.0,0.0,-0.0,-1.0,0.0032948929159802485,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.008561247420933116,1.0085612474209331,3.0,,,,,,,,,,,,
2025-08-01,策略2_完整约束,0.0,0.0,3.0,0.0,0.0,PTA:S; 沪金:S; 沪铜:S,-1.0,0.0046130189646336195,0.0,0.0,0.0,-0.0011188185276348461,-1.0,0.0005712208547541398,0.0,0.005134788189987249,0.0,-0.037444933920704804,-1.0,-0.01331114808652245,0.0,-0.00498960498960499,0.0,-0.01717032967032972,0.0,0.0033333333333334103,0.0,0.0011235955056179137,0.0,0.00393356643356646,-1.0,-0.0015376729882112066,0.0,0.0,0.0,-0.0,-1.0,-0.00019040695158471324,0.0,0.0,0.0,-0.0,-1.0,0.00443704936217415,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027089694223782304,1.0112934090007921,3.0,,,,,,,,,,,,
2025-08-04,策略2_完整约束,0.0,1.0,2.0,0.0,0.0,PTA:S; 沪铜:S,-1.0,-0.0008928571428571397,0.0,0.0007313505607020598,0.0,-0.0029121863799282943,0.0,0.013883122275274884,0.0,0.009578544061302763,0.0,0.04439359267734555,-1.0,-0.009696458684654297,0.0,-0.001253656498119482,0.0,0.06743535988819005,0.0,0.014950166112956742,0.0,-0.008080808080808133,0.0,-0.005659555942533756,-1.0,0.00029761904761904656,0.0,0.0,0.0,-0.0,-1.0,-0.004627707425091628,0.0,0.0,0.0,0.0,-1.0,0.0032321528948847655,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0010979354825878156,1.010183074083743,3.0,,,,,,,,,,,,
