pair,n,same_rate,opp_rate,binom_p_same,chi2_p,long_y_n,long_same_rate,short_y_n,short_same_rate,table_++,table_+-,table_-+,table_--,S
main~close,177,0.6101694915254238,0.3728813559322034,0.004156412582174464,0.001468866869845089,86,0.5930232558139535,88,0.6477272727272727,51,31,35,57,2
retail~close,177,0.3107344632768362,0.6666666666666666,5.194305648357268e-07,1.5839896110749293e-06,86,0.29069767441860467,88,0.3409090909090909,25,57,61,30,2
main~retail,177,0.23163841807909605,0.7627118644067796,4.240491398201389e-13,7.771135371355559e-13,82,0.18292682926829268,94,0.2765957446808511,15,68,67,26,2
main~close,174,0.6609195402298851,0.3333333333333333,2.6281626550885452e-05,1.3487529988758973e-05,88,0.6363636363636364,85,0.6941176470588235,56,26,32,59,3
retail~close,174,0.26436781609195403,0.7298850574712644,3.8977413934630375e-10,6.257364211322445e-10,88,0.20454545454545456,85,0.32941176470588235,18,57,70,28,3
main~retail,174,0.1839080459770115,0.8160919540229885,9.718725894710974e-18,1.6338884652588534e-17,76,0.10526315789473684,98,0.24489795918367346,8,74,68,24,3
main~close,171,0.7368421052631579,0.23391812865497075,4.4877481307442764e-10,1.2290035679188596e-11,90,0.7111111111111111,76,0.8157894736842105,64,14,26,62,4
retail~close,171,0.19298245614035087,0.7777777777777778,1.803938189938987e-16,1.218730684516303e-14,90,0.16666666666666666,76,0.23684210526315788,15,58,75,18,4
main~retail,171,0.16374269005847952,0.8362573099415205,8.738712701597344e-20,2.609919376060954e-19,75,0.08,96,0.22916666666666666,6,74,69,22,4
