t_start,t_end,S,delta_main,delta_retail,delta_close,dir_main,dir_retail,dir_close
2025-11-13,2025-11-19,5,43.769999999999996,-7.5600000000000005,19.0,1,-1,1
2025-11-14,2025-11-20,5,28.93,-5.9,16.0,1,-1,1
2025-11-17,2025-11-21,5,12.019999999999998,0.06999999999999995,-3.0,1,1,-1
2025-11-18,2025-11-24,5,-0.75,5.69,-1.5,-1,1,-1
2025-11-19,2025-11-25,5,-7.440000000000001,6.92,2.5,-1,1,1
2025-11-20,2025-11-26,5,-11.47,2.9400000000000004,8.5,-1,1,1
2025-11-21,2025-11-27,5,-8.919999999999998,-4.83,14.0,-1,-1,1
2025-11-24,2025-11-28,5,-9.190000000000001,-8.47,3.5,-1,-1,1
2025-11-25,2025-12-01,5,-10.33,-8.91,7.0,-1,-1,1
2025-11-26,2025-12-02,5,-9.04,-5.470000000000001,3.5,-1,-1,1
2025-11-27,2025-12-03,5,-13.02,0.7000000000000002,0.0,-1,1,0
2025-11-28,2025-12-04,5,-13.379999999999999,5.37,-17.0,-1,1,-1
2025-12-01,2025-12-05,5,-14.95,10.23,-32.0,-1,1,-1
2025-12-02,2025-12-08,5,-23.56,13.190000000000001,-40.0,-1,1,-1
2025-12-03,2025-12-09,5,-36.57,14.42,-42.0,-1,1,-1
2025-12-04,2025-12-10,5,-32.050000000000004,11.17,-8.0,-1,1,-1
2025-12-05,2025-12-11,5,-25.79,7.220000000000001,-12.0,-1,1,-1
2025-12-08,2025-12-12,5,-10.670000000000002,1.8099999999999996,0.0,-1,1,0
2025-12-09,2025-12-15,5,8.250000000000004,-2.0,-4.5,1,-1,-1
2025-12-10,2025-12-16,5,22.050000000000004,-3.0500000000000007,-8.0,1,-1,-1
2025-12-11,2025-12-17,5,24.29,-5.74,11.0,1,-1,1
2025-12-12,2025-12-18,5,31.060000000000002,-8.4,17.0,1,-1,1
2025-12-15,2025-12-19,5,36.85,-13.219999999999999,27.0,1,-1,1
2025-12-16,2025-12-22,5,36.12,-17.189999999999998,20.5,1,-1,1
2025-12-17,2025-12-23,5,36.72,-16.349999999999998,10.5,1,-1,1
2025-12-18,2025-12-24,5,23.939999999999998,-12.620000000000001,2.0,1,-1,1
2025-12-19,2025-12-25,5,8.15,-6.2,-1.5,1,-1,-1
2025-12-22,2025-12-26,5,-8.889999999999999,-0.5800000000000001,1.5,-1,-1,1
2025-12-23,2025-12-29,5,-8.8,-0.7200000000000006,18.0,-1,-1,1
2025-12-24,2025-12-30,5,-2.1199999999999974,-0.29999999999999893,9.5,-1,-1,1
2025-12-25,2025-12-31,5,9.36,-1.9499999999999993,11.0,1,-1,1
2025-12-26,2026-01-05,5,15.569999999999999,-3.0700000000000003,14.0,1,-1,1
2025-12-29,2026-01-06,5,13.329999999999998,-2.380000000000001,4.5,1,-1,1
2025-12-30,2026-01-07,5,11.049999999999997,-5.65,39.0,1,-1,1
2025-12-31,2026-01-08,5,9.110000000000003,-5.43,23.5,1,-1,1
2026-01-05,2026-01-09,5,8.21,-4.26,17.5,1,-1,1
2026-01-06,2026-01-12,5,7.770000000000003,-2.589999999999998,21.5,1,-1,1
2026-01-07,2026-01-13,5,3.780000000000001,3.5700000000000003,-8.5,1,1,-1
2026-01-08,2026-01-14,5,-6.510000000000002,5.489999999999998,8.0,-1,1,1
2026-01-09,2026-01-15,5,-18.46,7.99,-1.5,-1,1,-1
2026-01-12,2026-01-16,5,-28.870000000000005,12.379999999999999,-10.5,-1,1,-1
2026-01-13,2026-01-19,5,-46.24,16.0,-25.5,-1,1,-1
2026-01-14,2026-01-20,5,-52.0,21.490000000000002,-31.5,-1,1,-1
2026-01-15,2026-01-21,5,-51.61,24.72,-29.0,-1,1,-1
2026-01-16,2026-01-22,5,-48.059999999999995,22.59,-25.5,-1,1,-1
2026-01-19,2026-01-23,5,-27.669999999999995,14.73,1.0,-1,1,1
2026-01-20,2026-01-26,5,-0.7600000000000016,5.3,-5.0,-1,1,-1
2026-01-21,2026-01-27,5,23.26,-4.479999999999999,4.0,1,-1,1
2026-01-22,2026-01-28,5,35.099999999999994,-8.96,-3.5,1,-1,-1
2026-01-23,2026-01-29,5,43.29,-10.030000000000001,3.5,1,-1,1
2026-01-26,2026-01-30,5,34.1,-9.08,7.0,1,-1,1
2026-01-27,2026-02-02,5,17.82,-4.49,-5.0,1,-1,-1
2026-01-28,2026-02-03,5,6.33,0.79,-5.5,1,1,-1
2026-01-29,2026-02-04,5,-4.4799999999999995,5.37,-17.0,-1,1,-1
2026-01-30,2026-02-05,5,-18.97,8.42,-23.0,-1,1,-1
2026-02-02,2026-02-06,5,-27.400000000000002,8.94,-22.5,-1,1,-1
2026-02-03,2026-02-09,5,-29.79,5.25,-16.0,-1,1,-1
2026-02-04,2026-02-10,5,-31.840000000000003,2.039999999999999,-20.0,-1,1,-1
2026-02-05,2026-02-11,5,-23.940000000000005,-2.66,-6.0,-1,-1,-1
2026-02-06,2026-02-12,5,-8.32,-6.92,1.5,-1,-1,1
2026-02-09,2026-02-13,5,-5.790000000000003,-7.2,-15.5,-1,-1,-1
2026-02-24,2026-03-02,5,19.400000000000002,-5.08,14.0,1,-1,1
2026-02-25,2026-03-03,5,29.95,-6.779999999999999,1.0,1,-1,1
2026-02-26,2026-03-04,5,30.889999999999997,-6.34,3.5,1,-1,1
2026-02-27,2026-03-05,5,41.26,-5.95,8.5,1,-1,1
2026-03-02,2026-03-06,5,38.28,-5.35,17.5,1,-1,1
2026-03-03,2026-03-09,5,35.629999999999995,-8.59,31.0,1,-1,1
2026-03-04,2026-03-10,5,37.669999999999995,-11.67,32.0,1,-1,1
2026-03-05,2026-03-11,5,30.150000000000006,-11.91,28.5,1,-1,1
2026-03-06,2026-03-12,5,23.209999999999997,-10.290000000000001,23.5,1,-1,1
2026-03-09,2026-03-13,5,20.370000000000005,-7.789999999999999,27.0,1,-1,1
2026-03-10,2026-03-16,5,8.57,-5.459999999999999,25.0,1,-1,1
2026-03-11,2026-03-17,5,3.319999999999993,-3.880000000000001,29.0,1,-1,1
2026-03-12,2026-03-18,5,0.20000000000000284,-0.5199999999999996,15.5,1,-1,1
2026-03-13,2026-03-19,5,-12.880000000000003,6.16,-4.0,-1,1,-1
2026-03-16,2026-03-20,5,-19.599999999999998,9.12,6.5,-1,1,1
2026-03-17,2026-03-23,5,-18.369999999999997,9.15,2.5,-1,1,1
2026-03-18,2026-03-24,5,-18.880000000000003,5.1,13.0,-1,1,1
2026-03-19,2026-03-25,5,-20.6,1.1899999999999995,-1.0,-1,1,-1
2026-03-20,2026-03-26,5,-12.209999999999999,-0.9399999999999995,1.5,-1,-1,1
2026-03-23,2026-03-27,5,-18.38,0.6799999999999997,-7.0,-1,1,-1
2026-03-24,2026-03-30,5,-22.47,3.8600000000000003,-11.0,-1,1,-1
2026-03-25,2026-03-31,5,-23.05,5.199999999999999,1.5,-1,1,1
2026-03-26,2026-04-01,5,-17.39,5.24,-5.0,-1,1,-1
2026-03-27,2026-04-02,5,-18.48,5.1000000000000005,-7.0,-1,1,-1
2026-03-30,2026-04-03,5,-15.44,6.62,-37.0,-1,1,-1
2026-03-31,2026-04-07,5,-9.559999999999999,8.21,-33.5,-1,1,-1
2026-04-01,2026-04-08,5,-14.22,11.0,-45.5,-1,1,-1
2026-04-02,2026-04-09,5,-20.85,12.600000000000001,-55.0,-1,1,-1
2026-04-03,2026-04-10,5,-23.17,10.44,-22.5,-1,1,-1
2026-04-07,2026-04-13,5,-22.979999999999997,5.1899999999999995,-11.0,-1,1,-1
2026-04-08,2026-04-14,5,-22.01,0.27999999999999936,-8.0,-1,1,-1
2026-04-09,2026-04-15,5,-7.969999999999999,-5.630000000000001,14.0,-1,-1,1
2026-04-10,2026-04-16,5,20.33,-10.76,29.0,1,-1,1
2026-04-13,2026-04-17,5,37.73,-11.76,15.0,1,-1,1
2026-04-14,2026-04-20,5,45.35,-11.46,28.0,1,-1,1
