t_start,t_end,S,delta_main,delta_retail,delta_close,dir_main,dir_retail,dir_close
2025-07-22,2025-07-28,5,-26.14,30.19,-37.0,-1,1,-1
2025-07-23,2025-07-29,5,-41.67999999999999,35.8,-14.0,-1,1,-1
2025-07-24,2025-07-30,5,-45.720000000000006,35.53,-22.0,-1,1,-1
2025-07-25,2025-07-31,5,-43.910000000000004,29.66,-23.5,-1,1,-1
2025-07-28,2025-08-01,5,-31.84,17.599999999999998,-3.0,-1,1,-1
2025-07-29,2025-08-04,5,-13.5,6.92,-7.5,-1,1,-1
2025-07-30,2025-08-05,5,-1.2000000000000002,-3.8900000000000006,9.5,-1,-1,1
2025-07-31,2025-08-06,5,5.629999999999999,-12.129999999999999,15.5,1,-1,1
2025-08-01,2025-08-07,5,12.39,-13.94,10.0,1,-1,1
2025-08-04,2025-08-08,5,11.95,-10.35,-17.0,1,-1,-1
2025-08-05,2025-08-11,5,9.91,-4.79,-9.5,1,-1,-1
2025-08-06,2025-08-12,5,11.760000000000002,-2.63,6.5,1,-1,1
2025-08-07,2025-08-13,5,8.809999999999999,-2.75,2.0,1,-1,1
2025-08-08,2025-08-14,5,-4.63,-2.7199999999999998,1.5,-1,-1,1
2025-08-11,2025-08-15,5,-13.52,-2.53,-13.0,-1,-1,-1
2025-08-12,2025-08-18,5,-22.23,1.1800000000000006,-29.0,-1,1,-1
2025-08-13,2025-08-19,5,-33.099999999999994,4.86,-24.0,-1,1,-1
2025-08-14,2025-08-20,5,-31.73,7.000000000000001,-6.0,-1,1,-1
2025-08-15,2025-08-21,5,-18.1,7.3100000000000005,-3.5,-1,1,-1
2025-08-18,2025-08-22,5,-7.590000000000002,5.919999999999999,-2.0,-1,1,-1
2025-08-19,2025-08-25,5,14.599999999999998,1.6799999999999997,16.0,1,1,1
2025-08-20,2025-08-26,5,31.71,-2.870000000000001,7.5,1,-1,1
2025-08-21,2025-08-27,5,34.1,-3.5300000000000002,3.0,1,-1,1
2025-08-22,2025-08-28,5,38.44,-5.029999999999999,20.5,1,-1,1
2025-08-25,2025-08-29,5,31.970000000000002,-3.1399999999999997,0.5,1,-1,1
2025-08-26,2025-09-01,5,10.64,0.3700000000000001,-10.5,1,1,-1
2025-08-27,2025-09-02,5,-8.22,0.8500000000000005,-4.0,-1,1,-1
2025-08-28,2025-09-03,5,-17.85,0.3099999999999996,-13.5,-1,1,-1
2025-08-29,2025-09-04,5,-25.110000000000003,-4.19,4.0,-1,-1,1
2025-09-01,2025-09-05,5,-12.56,-9.32,23.5,-1,-1,1
2025-09-02,2025-09-08,5,8.49,-12.690000000000001,20.5,1,-1,1
2025-09-03,2025-09-09,5,25.41,-15.030000000000001,28.0,1,-1,1
2025-09-04,2025-09-10,5,32.36,-13.31,13.5,1,-1,1
2025-09-05,2025-09-11,5,30.71,-9.66,6.0,1,-1,1
2025-09-08,2025-09-12,5,17.17,-5.920000000000001,7.5,1,-1,1
2025-09-09,2025-09-15,5,-0.75,1.6500000000000004,-9.0,-1,1,-1
2025-09-10,2025-09-16,5,-15.140000000000002,6.21,-1.5,-1,1,-1
2025-09-11,2025-09-17,5,-19.03,4.92,9.0,-1,1,1
2025-09-12,2025-09-18,5,-18.32,4.48,0.5,-1,1,1
2025-09-15,2025-09-19,5,-13.2,-0.019999999999999574,11.5,-1,-1,1
2025-09-16,2025-09-22,5,-0.28999999999999915,-4.330000000000001,5.0,-1,-1,1
2025-09-17,2025-09-23,5,3.75,-4.1,-2.0,1,-1,-1
2025-09-18,2025-09-24,5,4.340000000000001,-5.109999999999999,3.5,1,-1,1
2025-09-19,2025-09-25,5,1.5,-4.59,-2.0,1,-1,-1
2025-09-22,2025-09-26,5,-13.09,0.19000000000000128,-18.5,-1,1,-1
2025-09-23,2025-09-29,5,-26.54,4.909999999999999,-18.5,-1,1,-1
2025-09-24,2025-09-30,5,-34.96,10.67,-23.0,-1,1,-1
2025-10-09,2025-10-15,5,19.82,-1.77,-14.0,1,-1,-1
2025-10-10,2025-10-16,5,10.270000000000001,3.7199999999999998,-21.5,1,1,-1
2025-10-13,2025-10-17,5,-6.8,13.43,-33.5,-1,1,-1
2025-10-14,2025-10-20,5,-16.04,20.150000000000002,-15.0,-1,1,-1
2025-10-15,2025-10-21,5,-18.39,19.42,-7.0,-1,1,-1
2025-10-16,2025-10-22,5,-14.360000000000001,11.620000000000001,0.5,-1,1,1
2025-10-17,2025-10-23,5,-1.6899999999999995,-0.13000000000000078,6.0,-1,-1,1
2025-10-20,2025-10-24,5,6.959999999999999,-9.990000000000002,4.0,1,-1,1
2025-10-21,2025-10-27,5,15.060000000000002,-15.91,17.0,1,-1,1
2025-10-22,2025-10-28,5,26.290000000000003,-18.44,18.5,1,-1,1
2025-10-23,2025-10-29,5,31.369999999999997,-18.86,27.5,1,-1,1
2025-10-24,2025-10-30,5,36.77,-17.740000000000002,31.5,1,-1,1
2025-10-27,2025-10-31,5,34.21,-12.11,13.5,1,-1,1
2025-10-28,2025-11-03,5,15.75,-1.78,-10.0,1,-1,-1
2025-10-29,2025-11-04,5,-6.869999999999999,11.129999999999999,-29.0,-1,1,-1
2025-10-30,2025-11-05,5,-30.3,17.77,-26.5,-1,1,-1
2025-10-31,2025-11-06,5,-47.46,15.969999999999999,-22.5,-1,1,-1
2025-11-03,2025-11-07,5,-49.57,10.48,-22.0,-1,1,-1
2025-11-04,2025-11-10,5,-41.18,1.4400000000000004,-10.5,-1,1,-1
2025-11-05,2025-11-11,5,-24.41,-2.9399999999999995,-13.0,-1,-1,-1
2025-11-06,2025-11-12,5,-4.09,-4.459999999999999,-3.5,-1,-1,-1
2025-11-07,2025-11-13,5,9.71,-5.51,12.0,1,-1,1
2025-11-10,2025-11-14,5,27.560000000000002,-4.0,7.5,1,-1,1
2025-11-11,2025-11-17,5,41.31,-5.55,25.5,1,-1,1
2025-11-12,2025-11-18,5,42.64,-7.01,18.0,1,-1,1
