boot_mean,boot_std,boot_p_ge_obs,variety_id,variety_name,S,pair
0.4926158192090396,0.03701007046523355,0.002,1,铁矿石,2,main~close
0.48887853107344637,0.036668802767860165,1.0,1,铁矿石,2,retail~close
0.4956752873563219,0.03818499264498636,0.0,1,铁矿石,3,main~close
0.49670977011494255,0.038238368190722856,1.0,1,铁矿石,3,retail~close
0.4832602339181286,0.03654998537906142,0.0,1,铁矿石,4,main~close
0.47916081871345034,0.03706212394192336,1.0,1,铁矿石,4,retail~close
0.4890536723163842,0.03702056617038847,0.001,2,螺纹钢,2,main~close
0.4892627118644068,0.0377416775234761,0.9995,2,螺纹钢,2,retail~close
0.49479022988505744,0.03787864622807082,0.0,2,螺纹钢,3,main~close
0.4942614942528735,0.03715307118628455,1.0,2,螺纹钢,3,retail~close
0.5026140350877192,0.03790772600647315,0.0,2,螺纹钢,4,main~close
0.4978421052631579,0.03786785153780975,1.0,2,螺纹钢,4,retail~close
0.4967655367231638,0.03718280095130428,0.073,3,热卷,2,main~close
0.49672033898305085,0.03752408644781186,1.0,3,热卷,2,retail~close
0.4952442528735633,0.03815448972541628,0.0,3,热卷,3,main~close
0.49372413793103453,0.03695162574230449,1.0,3,热卷,3,retail~close
0.49869298245614035,0.036798474001805165,0.0,3,热卷,4,main~close
0.4946520467836257,0.038077626021504225,1.0,3,热卷,4,retail~close
0.5012316384180792,0.037768045078095246,0.9545,4,锰硅,2,main~close
0.4999039548022599,0.037259324171314306,0.105,4,锰硅,2,retail~close
0.4822528735632184,0.036575958856652345,0.1945,4,锰硅,3,main~close
0.48246264367816094,0.037151893228987466,0.871,4,锰硅,3,retail~close
0.4925409356725146,0.03864744985712441,0.0055,4,锰硅,4,main~close
0.497906432748538,0.03791703733399286,0.9905,4,锰硅,4,retail~close
0.49204802259887004,0.037789787562049176,0.003,5,沪铜,2,main~close
0.4839830508474577,0.03665259408027879,1.0,5,沪铜,2,retail~close
0.4994597701149426,0.037409407020833896,0.0,5,沪铜,3,main~close
0.47883908045977014,0.03620866443412477,1.0,5,沪铜,3,retail~close
0.5003450292397661,0.03689846195504531,0.0,5,沪铜,4,main~close
0.4924269005847953,0.03718395887079743,1.0,5,沪铜,4,retail~close
0.49271468926553674,0.03698869225910079,0.0015,6,沪铝,2,main~close
0.48811864406779665,0.03702543612137871,1.0,6,沪铝,2,retail~close
0.49584770114942534,0.037183727615082145,0.0,6,沪铝,3,main~close
0.4866810344827587,0.038295744788415575,1.0,6,沪铝,3,retail~close
0.49707894736842106,0.03708473883856446,0.0,6,沪铝,4,main~close
0.4875350877192982,0.03712262449886408,1.0,6,沪铝,4,retail~close
0.49009887005649716,0.036372837368317784,0.0,7,沪锌,2,main~close
0.489590395480226,0.03716689489617484,1.0,7,沪锌,2,retail~close
0.4938735632183908,0.03744624190972414,0.0,7,沪锌,3,main~close
0.49396264367816095,0.038114737041547775,1.0,7,沪锌,3,retail~close
0.48770175438596486,0.03761347456377327,0.0,7,沪锌,4,main~close
0.4909415204678362,0.0370861678338671,1.0,7,沪锌,4,retail~close
0.4764067796610169,0.03714276748807727,0.0,8,沪铅,2,main~close
0.47157627118644063,0.03642251507241889,1.0,8,沪铅,2,retail~close
0.4957241379310345,0.03966161200420831,0.0,8,沪铅,3,main~close
0.4948218390804598,0.037410746825857905,1.0,8,沪铅,3,retail~close
0.48987719298245613,0.03818612206819953,0.0,8,沪铅,4,main~close
0.48915789473684207,0.03743908975488536,1.0,8,沪铅,4,retail~close
0.501005649717514,0.0378709444440084,0.0,9,沪锡,2,main~close
0.5004237288135593,0.03793286773491802,1.0,9,沪锡,2,retail~close
0.5028534482758621,0.03775297275329357,0.0,9,沪锡,3,main~close
0.5006408045977012,0.03813558038646246,1.0,9,沪锡,3,retail~close
0.5005087719298246,0.03702148432044949,0.0,9,沪锡,4,main~close
0.5036257309941521,0.036871611687522114,1.0,9,沪锡,4,retail~close
0.4998813559322034,0.03695820437163703,0.468,10,工业硅,2,main~close
0.5005875706214689,0.03855706994520077,0.2205,10,工业硅,2,retail~close
0.4916580459770115,0.03717491219416943,0.0095,10,工业硅,3,main~close
0.4916925287356322,0.03754683064756033,0.619,10,工业硅,3,retail~close
0.497780701754386,0.0375655235040979,0.014,10,工业硅,4,main~close
0.4962397660818713,0.03806139396210055,1.0,10,工业硅,4,retail~close
0.5009209039548023,0.03746935547654424,0.305,11,多晶硅,2,main~close
0.49178248587570617,0.03623201756737785,0.47,11,多晶硅,2,retail~close
0.507183908045977,0.03776238193971437,0.0465,11,多晶硅,3,main~close
0.5003965517241379,0.0375262443946151,0.9695,11,多晶硅,3,retail~close
0.5019005847953216,0.037859061522700715,0.0125,11,多晶硅,4,main~close
0.49429239766081867,0.037889783807416276,0.993,11,多晶硅,4,retail~close
0.4992175141242938,0.03667872920158859,0.5465,12,碳酸锂,2,main~close
0.4934548022598871,0.035605270021159915,0.975,12,碳酸锂,2,retail~close
0.4968534482758621,0.036640238264066496,0.0015,12,碳酸锂,3,main~close
0.4972011494252873,0.0357205203681754,1.0,12,碳酸锂,3,retail~close
0.49591812865497076,0.037901683357249784,0.0,12,碳酸锂,4,main~close
0.4963771929824561,0.037850408947250426,1.0,12,碳酸锂,4,retail~close
0.5026553672316384,0.03729630966732477,0.0,13,沪金,2,main~close
0.49780225988700566,0.03717311441592379,1.0,13,沪金,2,retail~close
0.5028045977011494,0.036947299222060415,0.0,13,沪金,3,main~close
0.49948850574712644,0.03719420126145836,1.0,13,沪金,3,retail~close
0.5035263157894737,0.037248015025003654,0.0,13,沪金,4,main~close
0.49571345029239766,0.0375808743406363,1.0,13,沪金,4,retail~close
0.4881977401129943,0.0369916646709908,0.0,14,豆一,2,main~close
0.48689265536723164,0.036959085725749456,1.0,14,豆一,2,retail~close
0.49451724137931036,0.038373371704414,0.0,14,豆一,3,main~close
0.4953448275862069,0.03809954731162528,1.0,14,豆一,3,retail~close
0.49353801169590644,0.03740038122966957,0.0,14,豆一,4,main~close
0.49323684210526314,0.03913085160607036,1.0,14,豆一,4,retail~close
0.48450847457627116,0.037702049549094396,0.001,15,豆二,2,main~close
0.48022598870056493,0.03767137418795402,1.0,15,豆二,2,retail~close
0.48786494252873563,0.038229437410550224,0.0,15,豆二,3,main~close
0.48512931034482754,0.037793788513346624,1.0,15,豆二,3,retail~close
0.49222807017543857,0.038540966174496614,0.0,15,豆二,4,main~close
0.4938245614035088,0.03832924668533689,1.0,15,豆二,4,retail~close
0.4878813559322034,0.03704809529341029,0.0235,16,豆油,2,main~close
0.48727118644067796,0.03730139765869753,1.0,16,豆油,2,retail~close
0.49712643678160917,0.03700408650077231,0.0005,16,豆油,3,main~close
0.4952557471264367,0.03841473622162995,1.0,16,豆油,3,retail~close
0.49419298245614035,0.037694561452092254,0.0,16,豆油,4,main~close
0.4960994152046784,0.037754918128527715,1.0,16,豆油,4,retail~close
0.49209887005649716,0.03723425217799971,0.0,17,豆粕,2,main~close
0.495590395480226,0.036040955663987066,1.0,17,豆粕,2,retail~close
0.49367241379310345,0.03925072737775591,0.0,17,豆粕,3,main~close
0.49530747126436786,0.03833545624323776,1.0,17,豆粕,3,retail~close
0.49379824561403507,0.037741432260939387,0.0,17,豆粕,4,main~close
0.49341812865497076,0.03742518716381303,1.0,17,豆粕,4,retail~close
0.4891412429378531,0.03672790755976006,0.0,18,菜油,2,main~close
0.4883502824858757,0.03783461729031766,1.0,18,菜油,2,retail~close
0.502367816091954,0.0381629344434135,0.0,18,菜油,3,main~close
0.4985344827586207,0.038195254858743935,1.0,18,菜油,3,retail~close
0.5001461988304093,0.037067617159080975,0.0,18,菜油,4,main~close
0.49464912280701756,0.037300946229058586,1.0,18,菜油,4,retail~close
0.4919604519774011,0.03747005400973874,0.0,19,菜粕,2,main~close
0.48798022598870056,0.03757072501153907,1.0,19,菜粕,2,retail~close
0.49698275862068964,0.037788121140811204,0.0,19,菜粕,3,main~close
0.49359195402298855,0.03753836061467966,1.0,19,菜粕,3,retail~close
0.5029298245614036,0.035999839931399026,0.0,19,菜粕,4,main~close
0.49788596491228065,0.03822446871060021,1.0,19,菜粕,4,retail~close
0.4950254237288136,0.037561368279836777,0.0,20,棕榈油,2,main~close
0.4932146892655368,0.03719196595215498,1.0,20,棕榈油,2,retail~close
0.5031551724137932,0.03792781203657663,0.0,20,棕榈油,3,main~close
0.49802298850574717,0.03675900167292304,1.0,20,棕榈油,3,retail~close
0.4975877192982456,0.037440989558518586,0.0,20,棕榈油,4,main~close
0.49541520467836253,0.038002402822629844,1.0,20,棕榈油,4,retail~close
0.474228813559322,0.037513748955817515,0.0455,21,玉米,2,main~close
